,,,,117,0,0,0.0002,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,
1,Line,,,,,,,179,0,0,0.0014,1.0169,-0.2324,0.2265,0.0704,1.0169,-0.2324,0.1687
1,Line,,,,,,,108,0,0,-0.0004,1.0169,-0.2324,0.5241,0.0396,1.0169,-0.2324,0.5413
1,Line,,,,,,,0,0,0,0.0005,1.0169,-0.2324,0.5065,0.0339,1.0169,-0.2324,0.4844
1,Line,,,,,,,128,0,0,-0.0017,1.0169,-0.2324,0.4298,0.0827,1.0169,-0.2324,0.5003
1,Line,,,,,,,180,0,0,0.0013,1.0169,-0.2324,0.4844,0.0675,1.0169,-0.2324,0.4298
1,Line,,,,,,,69,0,0,-0.0004,1.0169,-0.2324,0.4844,0.0396,1.0169,-0.2324,0.5003
1,Line,,,,,,,0,0,0,0.0004,1.0169,-0.2324,0.5241,0.0339,1.0169,-0.2324,0.5065
1,Line,,,,,,,0,0,0,-0.001,1.0169,-0.2324,0.5003,0.0698,1.0169,-0.2324,0.5413
1,Line,,,,,,,41,0,0,0.0002,1.0169,-0.2324,0.5065,0.0517,1.0169,-0.2324,0.5003
1,Line,,,,,,,0,0,0,-0.0012,1.0169,-0.2324,0.4501,0.0634,1.0169,-0.2324,0.5003
1,Line,,,,,,,49,0,0,0.0009,1.0169,-0.2324,0.3985,0.0563,1.0169,-0.2324,0.3635
1,Line,,,,,,,58,0,0,0.0001,1.0169,-0.2324,0.3656,0.0395,1.0169,-0.2324,0.3635
1,Line,,,,,,,0,0,0,0.0008,1.0169,-0.2324,0.3985,0.0339,1.0169,-0.2324,0.3656
1,Line,,,,,,,178,0,0,-0.0021,1.0169,-0.2324,0.3635,0.0916,1.0169,-0.2324,0.4501
1,Line,,,,,,,71,0,0,-0.0005,1.0169,-0.2324,0.4298,0.0415,1.0169,-0.2324,0.4501
1,Line,,,,,,,92,0,0,-0.0013,1.0169,-0.2324,0.3985,0.0619,1.0169,-0.2324,0.4501
1,Line,,,,,,,0,0,0,0.0008,1.0169,-0.2324,0.4298,0.0339,1.0169,-0.2324,0.3985
1,Line,,,,,,,118,0,0,-0.0009,1.0169,-0.2324,0.5065,0.0517,1.0169,-0.2324,0.5413
1,Line,,,,,,,104,0,0,-0.0005,1.0169,-0.2324,0.545,0.0395,1.0169,-0.2324,0.5644
1,Line,,,,,,,142,0,0,-0.0004,1.0169,-0.2324,0.5477,0.0563,1.0169,-0.2324,0.5644
1,Line,,,,,,,0,0,0,-0.0001,1.0169,-0.2324,0.545,0.0339,1.0169,-0.2324,0.5477
