Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,180,-0.0538,0.0000,0.0030,5.1243,0.0076,0.4022,0.0539,5.1781,0.0076,0.3992
1,Line,,,,,,,,,,,,,,180,-0.0528,0.0000,-0.0110,5.1183,0.0076,0.4818,0.0539,5.1711,0.0076,0.4929
1,Circle,0.4999,4.8190,0.0176,0.4193,2.5063,0.7978,0.3989,,,,,,,,,,,,,,,,,
1,Circle,0.4065,4.8190,0.0076,0.4193,2.2602,0.7194,0.3597,,,,,,,,,,,,,,,,,
1,Circle,0.2938,4.8190,0.0076,0.4193,1.9214,0.6116,0.3058,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.5045,0.0826,0.3537,0.2300,4.5045,0.3126,0.3537
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.4983,0.0826,0.4373,0.2300,4.4983,0.3126,0.4373
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.5138,0.0826,0.5197,0.2300,4.5138,0.3126,0.5197
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.6431,0.0826,0.1506,0.2300,4.6431,0.3126,0.1506
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.5795,0.0826,0.2053,0.2300,4.5795,0.3126,0.2053
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.5322,0.0826,0.2745,0.2300,4.5322,0.3126,0.2745
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.5502,0.0826,0.5953,0.2300,4.5502,0.3126,0.5953
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.8370,0.0826,0.7401,0.2300,4.8370,0.3126,0.7401
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.9194,0.0826,0.7245,0.2300,4.9194,0.3126,0.7245
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.9949,0.0826,0.6881,0.2300,4.9949,0.3126,0.6881
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.6049,0.0826,0.6588,0.2300,4.6049,0.3126,0.6588
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.6742,0.0826,0.7061,0.2300,4.6742,0.3126,0.7061
